"","confirmed","deaths","recovered","latitude","longitude","date"
"1",0,0,0,50.8333,4,2020-01-22
"2",0,0,0,50.8333,4,2020-01-23
"3",0,0,0,50.8333,4,2020-01-24
"4",0,0,0,50.8333,4,2020-01-25
"5",0,0,0,50.8333,4,2020-01-26
"6",0,0,0,50.8333,4,2020-01-27
"7",0,0,0,50.8333,4,2020-01-28
"8",0,0,0,50.8333,4,2020-01-29
"9",0,0,0,50.8333,4,2020-01-30
"10",0,0,0,50.8333,4,2020-01-31
"11",0,0,0,50.8333,4,2020-02-01
"12",0,0,0,50.8333,4,2020-02-02
"13",0,0,0,50.8333,4,2020-02-03
"14",0,0,0,50.8333,4,2020-02-04
"15",0,0,0,50.8333,4,2020-02-05
"16",0,0,0,50.8333,4,2020-02-06
"17",0,0,0,50.8333,4,2020-02-07
"18",0,0,0,50.8333,4,2020-02-08
"19",0,0,0,50.8333,4,2020-02-09
"20",0,0,0,50.8333,4,2020-02-10
"21",0,0,0,50.8333,4,2020-02-11
"22",0,0,0,50.8333,4,2020-02-12
"23",0,0,0,50.8333,4,2020-02-13
"24",0,0,0,50.8333,4,2020-02-14
"25",0,0,0,50.8333,4,2020-02-15
"26",0,0,0,50.8333,4,2020-02-16
"27",0,0,8.74641484455522e-08,50.8333,4,2020-02-17
"28",0,0,8.74641484455522e-08,50.8333,4,2020-02-18
"29",0,0,8.74641484455522e-08,50.8333,4,2020-02-19
"30",0,0,8.74641484455522e-08,50.8333,4,2020-02-20
"31",0,0,8.74641484455522e-08,50.8333,4,2020-02-21
"32",0,0,8.74641484455522e-08,50.8333,4,2020-02-22
"33",0,0,8.74641484455522e-08,50.8333,4,2020-02-23
"34",0,0,8.74641484455522e-08,50.8333,4,2020-02-24
"35",0,0,8.74641484455522e-08,50.8333,4,2020-02-25
"36",0,0,8.74641484455522e-08,50.8333,4,2020-02-26
"37",0,0,8.74641484455522e-08,50.8333,4,2020-02-27
"38",0,0,8.74641484455522e-08,50.8333,4,2020-02-28
"39",0,0,8.74641484455522e-08,50.8333,4,2020-02-29
"40",1.66181882046549e-06,0,8.74641484455522e-08,50.8333,4,2020-03-01
"41",3.32363764093098e-06,0,8.74641484455522e-08,50.8333,4,2020-03-02
"42",6.29741868807976e-06,0,8.74641484455522e-08,50.8333,4,2020-03-03
"43",1.0933018555694e-05,0,8.74641484455522e-08,50.8333,4,2020-03-04
"44",1.80176145797837e-05,0,8.74641484455522e-08,50.8333,4,2020-03-05
"45",2.76386709087945e-05,0,8.74641484455522e-08,50.8333,4,2020-03-06
"46",3.00002029168244e-05,0,8.74641484455522e-08,50.8333,4,2020-03-07
"47",3.55979084173397e-05,0,8.74641484455522e-08,50.8333,4,2020-03-08
"48",4.38195383712216e-05,0,8.74641484455522e-08,50.8333,4,2020-03-09
